trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	num_distr	Fixation.started	target.started	mouse.started	trial.stopped	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
133	0	133	0	262.7500208		262.6525605	10	262.7500208	262.7500208	0.0844832	264.8217234	[0.235]	[-0.36333333333333334]	[1]	[0]	[0]	[2.090948400000343]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
134	0	134	0	265.0347633		264.8383745	10	265.0347633	265.0347633	0.1398465	266.7706986	[0.041666666666666664]	[-0.45666666666666667]	[1]	[0]	[0]	[1.79479199999696]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
135	0	135	0	266.9842518		266.7866449	10	266.9842518	266.9842518	0.1419621	269.9511601	[-0.31166666666666665]	[0.3516666666666667]	[1]	[0]	[0]	[3.027352000000974]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
136	0	136	0	270.0156187		269.9580254	5	270.0156187	270.0156187	0.0360119	271.9037923	[-0.135]	[-0.225]	[1]	[0]	[0]	[1.9101072999983444]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
137	0	137	0	272.1174122		271.9199419	10	272.1174122	272.1174122	0.1410016	273.8213018	[0.08666666666666667]	[0.3283333333333333]	[1]	[0]	[0]	[1.764493800001219]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
138	0	138	0	274.0507469		273.838679	10	274.0507469	274.0507469	0.141438	275.7699323	[0.34833333333333333]	[0.36833333333333335]	[1]	[0]	[0]	[1.7920052000008582]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
139	0	139	0	275.9996601		275.7869924	10	275.9996601	275.9996601	0.1393039	278.4358875	[0.4716666666666667]	[0.4683333333333333]	[1]	[0]	[0]	[2.511555099998077]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
140	0	140	0	278.5659825		278.4521701	5	278.5659825	278.5659825	0.0759893	280.0673383	[0.165]	[0.14833333333333334]	[1]	[0]	[0]	[1.5435528000016348]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
141	0	141	0	280.1478338		280.0761548	5	280.1478338	280.1478338	0.0504453	281.5026406	[0.22833333333333333]	[-0.06]	[1]	[0]	[0]	[1.3772033999994164]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
142	0	142	0	281.597701		281.5167734	10	281.597701	281.597701	0.0662702	283.2162205	[0.37333333333333335]	[-0.005]	[1]	[0]	[0]	[1.637247099999513]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
143	0	143	0	283.2806063		283.2237653	5	283.2806063	283.2806063	0.0397004	285.0155866	[-0.29833333333333334]	[0.44166666666666665]	[1]	[0]	[0]	[1.7532638000011502]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
144	0	144	0	285.0806009		285.0225173	5	285.0806009	285.0806009	0.0365724	287.101256	[0.44166666666666665]	[0.42833333333333334]	[1]	[0]	[0]	[2.0421955000019807]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
145	0	145	0	287.2320319		287.1160346	5	287.2320319	287.2320319	0.0725162	290.950938	[-0.48]	[-0.11166666666666666]	[1]	[0]	[0]	[3.7663393000002543]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
146	0	146	0	291.0460254		290.9668555	5	291.0460254	291.0460254	0.0635503	292.5675577	[-0.11166666666666666]	[0.02666666666666667]	[1]	[0]	[0]	[1.5405858999984048]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
147	0	147	0	292.7141917		292.5839991	5	292.7141917	292.7141917	0.0898382	294.1673873	[-0.17166666666666666]	[-0.255]	[1]	[0]	[0]	[1.4964937999975518]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
148	0	148	0	294.2970832		294.1841897	5	294.2970832	294.2970832	0.0734468	295.5865981	[0.135]	[0.15]	[1]	[0]	[0]	[1.3324193999978888]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
149	0	149	0	295.7302816		295.6109191	5	295.7302816	295.7302816	0.0902069	297.1495011	[0.255]	[-0.32166666666666666]	[1]	[0]	[0]	[1.4546147000000929]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
150	0	150	0	297.279872		297.1676724	5	297.279872	297.279872	0.0774002	298.7350596	[0.3516666666666667]	[0.25166666666666665]	[1]	[0]	[0]	[1.4940772999980254]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
151	0	151	0	298.9630321		298.7571549	10	298.9630321	298.9630321	0.1384199	300.5636249	[-0.32166666666666666]	[-0.021666666666666667]	[1]	[0]	[0]	[1.6705464000006032]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
152	0	152	0	300.6452905		300.5707525	5	300.6452905	300.6452905	0.0376432	302.2807342	[0.46166666666666667]	[-0.125]	[1]	[0]	[0]	[1.673076499999297]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
153	0	153	0	302.3621479		302.2899425	5	302.3621479	302.3621479	0.0468323	303.9639095	[-0.31333333333333335]	[0.22166666666666668]	[1]	[0]	[0]	[1.6284080000004906]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
154	0	154	0	304.0451034		303.9725642	5	304.0451034	304.0451034	0.0463579	305.4499478	[-0.355]	[0.42833333333333334]	[1]	[0]	[0]	[1.4317848999999114]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
155	0	155	0	305.6444771		305.4667712	10	305.6444771	305.6444771	0.1394718	307.2997778	[-0.075]	[-0.16833333333333333]	[1]	[0]	[0]	[1.6953720999990765]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
156	0	156	0	307.5289211		307.3256778	10	307.5289211	307.5289211	0.1428466	309.8656631	[0.09833333333333333]	[0.23833333333333334]	[1]	[0]	[0]	[2.400070499999856]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
157	0	157	0	309.9955246		309.8811806	5	309.9955246	309.9955246	0.0764519	311.7989347	[0.115]	[-0.20333333333333334]	[1]	[0]	[0]	[1.8447597999984282]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
158	0	158	0	311.9289103		311.8169618	5	311.9289103	311.9289103	0.0726338	313.6990518	[0.36833333333333335]	[-0.25166666666666665]	[1]	[0]	[0]	[1.8114067999995314]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
159	0	159	0	313.9117898		313.7179771	10	313.9117898	313.9117898	0.1613103	315.365052	[-0.26666666666666666]	[-0.29333333333333333]	[1]	[0]	[0]	[1.4875102999976662]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
160	0	160	0	315.5948179		315.3823064	10	315.5948179	315.5948179	0.1434267	317.2957658	[-0.005]	[-0.30833333333333335]	[1]	[0]	[0]	[1.7741055999977107]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
161	0	161	0	317.3763687		317.3056922	5	317.3763687	317.3763687	0.0463212	318.9796224	[-0.49]	[-0.023333333333333334]	[1]	[0]	[0]	[1.6296903000002203]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
162	0	162	0	319.0596841		318.9884202	5	319.0596841	319.0596841	0.0468506	321.0618583	[0.38166666666666665]	[-0.185]	[1]	[0]	[0]	[2.027770499997132]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
163	0	163	0	321.1424983		321.070346	5	321.1424983	321.1424983	0.0456994	322.7474018	[-0.19666666666666666]	[-0.31666666666666665]	[1]	[0]	[0]	[1.6320384999999078]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
164	0	164	0	322.9776553		322.7652812	10	322.9776553	322.9776553	0.1526944	324.8821808	[-0.3433333333333333]	[0.235]	[1]	[0]	[0]	[1.969049499999528]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
165	0	165	0	324.9921463		324.9020668	5	324.9921463	324.9921463	0.0723486	326.4967116	[-0.075]	[-0.04666666666666667]	[1]	[0]	[0]	[1.5253384999996342]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
166	0	166	0	326.6266659		326.5142462	5	326.6266659	326.6266659	0.0752789	328.3284978	[0.48833333333333334]	[-0.4583333333333333]	[1]	[0]	[0]	[1.7434049999974377]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
167	0	167	0	328.4079126		328.3441209	5	328.4079126	328.4079126	0.0540938	330.093918	[-0.14666666666666667]	[0.17333333333333334]	[1]	[0]	[0]	[1.7011061000011978]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
168	0	168	0	330.2416837		330.102877	10	330.2416837	330.2416837	0.0906765	332.3431807	[0.36]	[-0.415]	[1]	[0]	[0]	[2.150868900000205]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
169	0	169	0	332.4078012		332.3502239	5	332.4078012	332.4078012	0.0375877	334.6127836	[0.058333333333333334]	[-0.025]	[1]	[0]	[0]	[2.2254152999994403]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
170	0	170	0	334.742177		334.6307549	5	334.742177	334.742177	0.0710231	336.4783869	[0.16]	[-0.33]	[1]	[0]	[0]	[1.7791108999990684]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
171	0	171	0	336.6417256		336.4959445	5	336.6417256	336.6417256	0.0910416	339.3133713	[-0.18333333333333332]	[0.43666666666666665]	[1]	[0]	[0]	[2.7314024999977846]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
172	0	172	0	339.4412529		339.3348248	5	339.4412529	339.4412529	0.0731433	341.9775121	[0.21666666666666667]	[-0.245]	[1]	[0]	[0]	[2.5748811999983445]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
173	0	173	0	342.0729386		341.9899826	5	342.0729386	342.0729386	0.0576779	343.6423291	[0.38166666666666665]	[0.045]	[1]	[0]	[0]	[1.5970526999990398]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
174	0	174	0	343.7396546		343.6491448	10	343.7396546	343.7396546	0.0630813	348.7592477	[0.03]	[-0.09833333333333333]	[1]	[0]	[0]	[5.047292200000811]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
175	0	175	0	348.9397149		348.7792406	10	348.9397149	348.9397149	0.1196057	351.4106036	[-0.41]	[0.11333333333333333]	[1]	[0]	[0]	[2.513060299999779]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
176	0	176	0	351.5886737		351.4267117	10	351.5886737	351.5886737	0.1255074	352.7273775	[-0.325]	[0.4116666666666667]	[1]	[0]	[0]	[1.1779095999991114]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
177	0	177	0	352.8564555		352.7431802	5	352.8564555	352.8564555	0.0730261	354.8264223	[0.39166666666666666]	[-0.21833333333333332]	[1]	[0]	[0]	[2.01256469999862]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
178	0	178	0	354.9879881		354.8425511	10	354.9879881	354.9879881	0.1161391	356.5065392	[0.4483333333333333]	[0.315]	[1]	[0]	[0]	[1.5522421000023314]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
179	0	179	0	356.5878439		356.5210986	5	356.5878439	356.5878439	0.0400036	358.1769205	[-0.25]	[0.23333333333333334]	[1]	[0]	[0]	[1.6166168999989168]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
180	0	180	0	358.3063076		358.1932595	5	358.3063076	358.3063076	0.0717675	359.8738674	[-0.47833333333333333]	[0.25666666666666665]	[1]	[0]	[0]	[1.6119182000002183]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
181	0	181	0	359.9874468		359.8827861	10	359.9874468	359.9874468	0.0810704	363.12254	[0.041666666666666664]	[-0.03166666666666667]	[1]	[0]	[0]	[3.1599360999971395]	[]	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
182	0	182	0	363.1870155		363.1291069	5	363.1870155	363.1870155	0.0358337	365.293139	[0.1]	[-0.445]	[1]	[0]	[0]	[2.128415400002268]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
183	0	183	0	365.4707504		365.3106623	10	365.4707504	365.4707504	0.1141674	368.7878996	[0.4816666666666667]	[-0.4533333333333333]	[1]	[0]	[0]	[3.3655357000025106]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
184	0	184	0	368.8525726		368.7963692	5	368.8525726	368.8525726	0.0340515	370.8252844	[0.395]	[0.48333333333333334]	[1]	[0]	[0]	[1.995763099999749]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
185	0	185	0	370.953359		370.8405942	5	370.953359	370.953359	0.0718249	372.9741362	[-0.25]	[-0.3416666666666667]	[1]	[0]	[0]	[2.064581400001771]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
186	0	186	0	373.204241		372.9925989	10	373.204241	373.204241	0.1523144	378.1545577	[-0.2816666666666667]	[0.4716666666666667]	[1]	[0]	[0]	[5.013926599996921]	[]	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
187	0	187	0	378.2683749		378.1635005	10	378.2683749	378.2683749	0.0798076	379.8732556	[-0.13166666666666665]	[0.15833333333333333]	[1]	[0]	[0]	[1.630773600001703]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
188	0	188	0	380.0856275		379.8893775	10	380.0856275	380.0856275	0.1421967	382.3866714	[0.43666666666666665]	[-0.4083333333333333]	[1]	[0]	[0]	[2.3593536999978824]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
189	0	189	0	382.4510906		382.3938016	5	382.4510906	382.4510906	0.0367093	383.9375982	[0.47333333333333333]	[0.018333333333333333]	[1]	[0]	[0]	[1.5074595000005502]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
190	0	190	0	384.0856989		383.9460807	10	384.0856989	384.0856989	0.0910211	385.455988	[-0.085]	[0.056666666666666664]	[1]	[0]	[0]	[1.4199248000004445]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
191	0	191	0	385.5863564		385.4720133	5	385.5863564	385.5863564	0.0765959	386.7224938	[-0.115]	[0.055]	[1]	[0]	[0]	[1.1781063999987964]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
192	0	192	0	386.9519629		386.7382924	10	386.9519629	386.9519629	0.1429857	389.1363553	[-0.11833333333333333]	[0.095]	[1]	[0]	[0]	[2.259297799999331]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
193	0	193	0	389.2000363		389.1435669	5	389.2000363	389.2000363	0.0381465	391.7687143	[-0.21166666666666667]	[0.18333333333333332]	[1]	[0]	[0]	[2.5878556999996363]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
194	0	194	0	391.8334111		391.775844	5	391.8334111	391.8334111	0.037874	393.2019349	[0.145]	[0.15166666666666667]	[1]	[0]	[0]	[1.389143000000331]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
195	0	195	0	393.2830529		393.2100837	5	393.2830529	393.2830529	0.0428446	394.5035615	[0.3516666666666667]	[0.2683333333333333]	[1]	[0]	[0]	[1.251304600002186]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
196	0	196	0	394.5998453		394.5207164	5	394.5998453	394.5998453	0.0612159	396.4210628	[0.08833333333333333]	[0.09666666666666666]	[1]	[0]	[0]	[1.8428770000027725]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
197	0	197	0	396.6516954		396.437713	10	396.6516954	396.6516954	0.1477199	397.7200909	[0.25333333333333335]	[0.023333333333333334]	[1]	[0]	[0]	[1.138433400003123]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
198	0	198	0	397.8505629		397.7370316	5	397.8505629	397.8505629	0.0725669	399.6059973	[0.405]	[0.4666666666666667]	[1]	[0]	[0]	[1.8003296999995655]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
199	0	199	0	399.8337552		399.6237788	10	399.8337552	399.8337552	0.1388375	401.3199513	[0.08166666666666667]	[-0.12166666666666667]	[1]	[0]	[0]	[1.5592078000008769]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
