word_list,shape,corr_ans,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_3.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction2.started,text_5.started,key_resp_2.started,Instruction2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,wordpresentation.started,WordDisplay.started,text_2.started,WordDisplay.stopped,text_2.stopped,wordpresentation.stopped,ShapeNback.started,shapeStim.started,NbackResponse.started,shapeStim.stopped,text_6.started,ShapeNback.stopped,NbackResponse.keys,NbackResponse.corr,NbackResponse.rt,NbackResponse.duration,text_6.stopped,NbackResponse.stopped,RecallPhase.started,text.started,textbox.started,text_4.started,mouse.started,RecallPhase.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.004334499943070114,0.011997599969618022,0.011997599969618022,2.166313999914564,space,2.1405881999526173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
,,,,,,,,,,,,,,,,,,,,2.166450700024143,2.1861054999753833,2.1861054999753833,2.607453199918382,space,0.4120405000867322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
bottle,circle,n,0,0,0,0,,,,,2.6651861999416724,,,,,,,,,,,,,,,,2.642627299996093,2.6651861999416724,4.6194007999729365,4.669331599958241,6.119861299986951,6.104060799931176,6.104120099917054,6.119861299986951,6.119861299986951,6.619035599986091,6.619035599986091,7.305411599925719,n,1,1.1812933000037447,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
chair,square,n,0,1,1,1,,,,,7.358980999910273,,,,,,,,,,,,,,,,7.307915100012906,7.358980999910273,9.319113399949856,9.36917919991538,10.819179799989797,10.80408599996008,10.804143899935298,10.819179799989797,10.819179799989797,11.319084899965674,11.319084899965674,12.803712000022642,None,0,,,12.82105359993875,12.82105359993875,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
book,square,n,0,2,2,2,,,,,12.82105359993875,,,,,,,,,,,,,,,,12.805135099915788,12.82105359993875,14.818606499931775,14.835405000019819,16.31856009992771,16.303299799910747,16.30335850000847,16.31856009992771,16.31856009992771,16.81831170001533,16.81831170001533,17.238828199915588,n,1,0.9158326999749988,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
lamp,triangle,n,0,3,3,3,,,,,17.264022000017576,,,,,,,,,,,,,,,,17.24091159994714,17.264022000017576,19.251527999993414,19.268158399965614,20.751198799931444,20.736094099935144,20.7361531999195,20.751198799931444,20.751198799931444,,,21.054099899949506,n,1,0.29872940003406256,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
clock,square,y,0,4,4,4,,,,,21.080946899950504,,,,,,,,,,,,,,,,21.055967399966903,21.080946899950504,23.06744070001878,23.0841237999266,24.56760079995729,24.55233919993043,24.552396100014448,24.56760079995729,24.56760079995729,25.06729679997079,25.06729679997079,25.120258799986914,y,1,0.5442845999496058,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
pen,circle,n,0,5,5,5,,,,,25.146222100011073,,,,,,,,,,,,,,,,25.12218079995364,25.146222100011073,27.133738199947402,27.150463599944487,28.633570899954066,28.618239199975505,28.61829759995453,28.633570899954066,28.633570899954066,,,28.96958219993394,n,1,0.3227002000203356,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
phone,square,y,0,6,6,6,,,,,28.994891499984078,,,,,,,,,,,,,,,,28.97150999994483,28.994891499984078,30.983364299987443,30.999817200005054,32.483377199969254,32.46809769992251,32.46816349995788,32.483377199969254,32.483377199969254,,,32.669129799935035,n,0,0.17503869999200106,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
pencil,triangle,n,0,7,7,7,,,,,32.699912399984896,,,,,,,,,,,,,,,,32.671314999926835,32.699912399984896,34.682953999959864,34.69960659998469,36.182472400018014,36.16774860001169,36.167798599926755,36.182472400018014,36.182472400018014,36.68259420001414,36.68259420001414,38.16717949998565,None,0,,,38.187286900007166,38.187286900007166,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
laptop,circle,n,0,8,8,8,,,,,38.187286900007166,,,,,,,,,,,,,,,,38.1688492000103,38.187286900007166,40.181283699930646,40.19796459993813,41.68092469999101,41.66540019994136,41.66543699998874,41.68092469999101,41.68092469999101,,,42.0993107999675,n,1,0.41170399996917695,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
bag,triangle,y,0,9,9,9,,,,,42.118974399985746,,,,,,,,,,,,,,,,42.100614099996164,42.118974399985746,44.1146410999354,44.13082919991575,45.61765859997831,45.599801299977116,45.59989549999591,45.61765859997831,45.61765859997831,46.13107499992475,46.114542399998754,47.6146807000041,None,0,,,47.61437309999019,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
cover,circle,y,0,10,10,10,,,,,47.63447879999876,,,,,,,,,,,,,,,,47.6161843999289,47.63447879999876,49.614281599991955,49.64762860001065,51.114010100020096,51.09913180000149,51.09919570002239,51.114010100020096,51.114010100020096,51.6138141999254,51.6138141999254,51.785179600003175,n,0,0.654105499968864,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
plant,square,n,0,11,11,11,,,,,51.804111199919134,,,,,,,,,,,,,,,,51.787361999973655,51.804111199919134,53.797165199997835,53.81373389996588,55.296773799927905,55.28149620001204,55.281552999978885,55.296773799927905,55.296773799927905,55.79671549994964,55.79671549994964,55.899405199917965,n,1,0.5959055999992415,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
key,square,n,0,12,12,12,,,,,55.925275999936275,,,,,,,,,,,,,,,,55.901313700014725,55.925275999936275,57.91323279996868,57.92974509997293,59.41292179992888,59.39774079993367,59.3978141999105,59.41292179992888,59.41292179992888,59.913096599979326,59.913096599979326,59.99914580001496,y,0,0.5691181001020595,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
window,square,y,0,13,13,13,,,,,60.01797549996991,,,,,,,,,,,,,,,,60.00098979996983,60.01797549996991,62.01254409993999,62.02915209997445,63.51234339992516,63.49710709997453,63.49716309993528,63.51234339992516,63.51234339992516,,,63.81494559999555,n,0,0.2917984001105651,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
notebook,triangle,n,0,14,14,14,,,,,63.84103259991389,,,,,,,,,,,,,,,,63.816875999909826,63.84103259991389,65.82886819995474,65.84532379999291,67.3285863000201,67.31335059995763,67.31340839993209,67.3285863000201,67.3285863000201,,,67.74780629994348,n,1,0.4110380000201985,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
,,,,,,,0,0,0,0,67.78571610001381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.75140900001861,67.78571610001381,67.78571610001381,67.78571610001381,0.004221400013193488,86.24397309997585,key,[0.06481481481481481],[-0.30833333333333335],[1],[0],[0],[18.48904020001646],['text_4'],335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
,,,,,,,1,0,1,0,86.28454109991435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.24937530001625,86.28454109991435,86.28454109991435,86.28454109991435,0.0024293999886140227,92.09200950001832,plant,[0.06481481481481481],[-0.30833333333333335],[1],[0],[0],[5.8393141000997275],['text_4'],335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
,,,,,,,2,0,2,0,92.13001419999637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.09564790001605,92.13001419999637,92.13001419999637,92.13001419999637,0.00263709994032979,95.96568299992941,bag,[0.06481481481481481],[-0.30833333333333335],[1],[0],[0],[3.866169499931857],['text_4'],335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
,,,,,,,3,0,3,0,96.0013908999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.96925460000057,96.0013908999972,96.0013908999972,96.0013908999972,0.00233220006339252,102.8978030999424,book,[0.06481481481481481],[-0.30833333333333335],[1],[0],[0],[6.9253350999206305],['text_4'],335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
,,,,,,,,,,,102.93364489998203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.90111679991242,102.93364489998203,102.93364489998203,102.93364489998203,0.003007299965247512,,,,,,,,,,,,,,,,,
